机型,机号,执管单位,章节号,首发日期,位置,标题,故障描述,下步措施,换件信息
A320-200,B-9915,深圳,21,2025-04-15,,航后执行左组件热交更换工卡，检查发现ACM封圈漏气，主热交和ACM之间管路有破损,2025年04月15日 更换左侧ACM和压气机出口管路，测试正常。,nan,nan
A320-200,B-9915,深圳,21,2025-03-27,,右组件出口温度高预警单，检查发现ACM方形出口有一侧脱落间隙较宽。,"2025年03月27日 检查发现ACM方形出口有一侧脱落间隙较宽
2025年03月27日 更换右组件ACM，测试正常，右组件出口温度-10度，左右组件流量一致。",nan,nan
A320-200,B-6576,重庆,21,2025-03-02,,机组反馈空调在慢车的时候不制冷，在空中才制冷,2025年03月03日 机组反映在地面开APU和双发慢车都很热，到三十多度，客舱正常，只有推油门后才制冷。广州航后检查发现左组件出口温度为40度，本机对串ACSC，故障依旧；译码发现左组件旁通活门开度大，更换旁通活门，故障依旧；开空调检查，管路未发现明显漏气现象，ACM没有异常工作声音；本机对串组件出口压力传感器14HH和20HH，故障转移；恢复所有串件，更换组件出口压力传感器14HH，测试正常。,nan,nan
A320-200,B-6641,重庆,21,2024-09-16,,组件出口温度高-右,"2024年09月17日 QAR译码显示，右组件出口温度高，初步判断右组件调节性能下降。
2024年09月20日 航后检查右侧ACM方形封严破损且6个固定螺杆有松动，更换方形封严及钢索螺套后，测试有比较明显的改善，但仍有渗漏的情况。计划20日航后更换ACM。
2024年09月21日 20日航后更换右侧ACM，测试无渗漏。",nan,2024年09月21日 部件名称：ACM P/N ON:1263A0000-03 P/N OFF:1263A0000-03 S/N ON:07045 S/N OFF:07045 TSN:    TSR:   
A320-200,B-9951,大连,21,2024-09-07,,航后检查发现PACK2集气室与ACM连接部分凹陷变形,2024年09月07日 集气室无件，咨询技术后使用金属胶带缠绕加固，开空调测试正常，集气室已要件，待到件后更换,nan,nan
A320-200,B-6909,吉林,21,2024-08-31,4,AIR PACK 2 OVHT警告,"2024年08月31日 重庆短停飞机上完客后机组报告PACK2超温，机务复位后故障依旧，办理故障保留。
航后更换ACM，测试正常，关闭保留",装新件后搭铁线不够长，还有一拖把损坏,nan
A320-200,B-309L,吉林,21,2024-08-29,4,预警通知单,"2024年08月29日 组件出口温度高-左  C类10日内完成  建议不执行重要航班 优先飞南航基地
检查发现PACK1组件ACM上的胶皮管破损，已从B-9960PACK1串件胶皮管
2024年09月07日 9960飞机已安装新件。",nan,nan
A320-200,B-8547,海口,21,2024-08-24,,PHMC-A预警单：右组件出口温度高,"2024年08月25日 求援大兴按预警单完成温控测试、APU引气状态下组件出口温度检查，结果正常。
2024年08月26日 25日航后检查右组件ACM方形封严螺钉和螺套松动导致漏气，重新拧紧螺套和螺钉.
2024年08月27日 26日浦东航后。
2024年08月28日 27日更换有ACM，测试正常。",nan,nan
A320-200,B-6897,吉林,21,2024-08-22,4,COND AFT CRG HEAT FAULT警告,"2024年08月22日 监控 06段出现警告：COND AFT CRG HEAT FAULT。
长春短停对调两部BMC后，测试正常。打开右大翼吊脚上方盖板，检查发现柔性管路隔热罩有破损现象。更换封圈并临时修理隔热罩。  1、BMC操作测试正常 2、测量右大翼环路A 和B连续性阻值，对地绝缘性阻值正常】 3、使用APU引气，检查右侧空调舱内无漏气，ACM上方3个软管无漏气 4、检查右侧空调舱内引气渗漏探测原件上温度贴指示正常 5、更换柔性接头封严，试车测试正常
2024年08月23日 监控FIADA 06段出现警告：COND AFT CRG HEAT FAULT和故障信息：AFT CARGO HEAT CONT。
飞机落地后正常，办理故障保留。
航后更换加温控制器，测试正常，关闭保留",nan,nan
A320-200,B-6292,黑龙江,21,2024-08-21,,左空调ACM方型封严漏气,"2024年08月21日 下部有固定钉无法拧紧。回哈依据AMM TASK 21-52-21-400-002-A完成修复。参考MT-CZ-320SR-23-00125_0 MT-CZ-320SR-23-00126_0
1、备件封严更换
2、如螺钉无法磅紧，按CRM21-52-16-R更换双螺套，如双螺套无法磅紧
3、备件ACM，更换ACM
2024年08月22日 航后更换ACM，测试正常",nan,nan
A320-200,B-309X,深圳,21,2024-08-12,,预警通知单：组件出口温度高-左,"2024年08月12日 译码地面启动后，左组件出口温度偏高，空中正常。
2024年08月12日 根据棑故经验，最有可能的部件是方形封圈、冷凝器和再加热器。
可能的航材需求：
方形封圈：3455-71
ACM：1263C0000-01或1263A0000-02或1263A0000-03或757A0000-08或757A0000-09或757A0000-10
冷凝器：756B0000-01或756A0000-07或756A0000-06或756A0000-05
再加热器：755D0000-01或755C0000-01
建议先按预警单检查测试，如果未发现明显故障和渗漏，但是组件出口温度仍然偏高，则更换冷凝器，故障继续则更换再加热器。
2024年08月14日 检查发现ACM本体上的防冰管断裂和方形封圈处漏气。ACM件号：1263C0000-01；防冰管件号：3455-23或者3455-123；方形封圈件号：3455-71
2024年08月14日 309X更换左组件ACM方型封圈及软管，检查正常。
开引气运行10分钟，左组件出口温度0度。",nan,nan
A320-200,B-9951,大连,21,2024-08-05,,TMC下发PHMC-A预警通知单：组件出口温度高-左,"2024年08月05日 针对TMC下发PHMC-A预警通知单：组件出口温度高-左，航后完成如下工作：
1、参考AMM TASK 21-61-00-710-001-A 执行温控测试，测试正常。
2、完成组件外漏检查（重点关注ACM方形封圈，管路连接，波纹管，部件焊接处等），检查正常，无渗漏。
3、使用APU引气开启空调组件10分钟以上，检查组件出口温度，左PACK为5℃，右PACK为0℃。
4、将本机左PACK组件出口温度传感器13HH与B-9911右PACK组件出口温度传感器34HH对调，将本机ACSC1与B-9911 ACSC1对调，均测试通过。但是开启空调组件10分钟以上，发现B-9911右PACK为5℃，左PACK为0℃，而B-9951双PACK均为0℃。判断故障转移至B-9911右PACK。
5、组件出口温度传感器大连无件已要件，计划到件后更换B-9911右PACK组件出口温度传感器34HH，目录两架飞机空调不影响使用。",nan,"2024年08月05日 部件名称：ACSC P/N ON:1803B0000-04 P/N OFF:1803B0000-04 S/N ON:1803B00LI009790 S/N OFF:1803B00LI010817 TSN:    TSR:   
2024年08月05日 部件名称：左PACK组件出口温度传感器 P/N ON:764B0000-01 P/N OFF:764B0000-01 S/N ON:27090 S/N OFF:29888 TSN:    TSR:   "
A320-200,B-302J,重庆,21,2024-07-28,,监控有AIR PACK 2 OVHT+P2 COMP OVERHEAT故障信息,2024年07月28日 航后接近PACK2组件检查发现ACM方形封严有漏气，更换方形封严，更换压气机出口温度传感器32HH，测试正常。,nan,2024年07月28日 部件名称：压气机出口温度传感器 P/N ON:9105A0005-02 P/N OFF:9105A0005-02 S/N ON:54156 S/N OFF:54111 TSN:    TSR:   
A320-200,B-30EZ,深圳,21,2024-07-24,,预警通知单：23日航后温控测试正常，组件外漏检查正常,"2024年07月24日 初步排故方案：参考TSM TASK 21-61-00-810-833-A进行检查排故。
1）参考AMM TASK 21-61-00-710-001-A 执行温控测试，根据相应故障信息完成排故。
2）如温控测试正常，优先完成组件外漏检查（重点关注ACM方形封圈，管路连接，波纹管，部件焊接处等），按需修复。
3）如组件外漏检查正常，使用APU引气开启空调组件10分钟以上，检查组件出口温度是否正常（注：高温环境下，组件出口温度低于10度可属于可接受范围，组件出口温度10-15度之间建议监控使用，组件出口温度高于15度建议排故）。
4）如组件出口温度高于10度，建议参考TSM TASK 21-61-00-810-832-A继续排故，检查冲压进气门角度、冲压进气和出气量、水分离器喷嘴喷水情况、旁通活门角度、FCV流量和ACM运转是否正常，按需修复。
5）如以上检查都正常，建议串件组件出口温度传感器、ACSC并再次测试组件出口温度是否低于10度。
6）如组件出口温度仍然明显偏高，建议根据检查结果和压气机出口温度综合判断，按需隔离冷凝器、再加热器或热交换器等部件。
7）如故障现象继续，建议按TSM TASK 21-61-00-810-833-A完成其他排故步骤。
2024年07月25日 23日按TSM检查正常，无外漏和故障信息，组件2出口温度10-15度。
24日航后更换组件2冷凝器，测试正常，组件2出口温度0度。
2024年07月25日 25日译码正常，故障源为冷凝器。",nan,nan
A320-200,B-32FU,湖南,21,2024-07-19,,ACM出口指示错误,"2024年07月19日 B-32FU（湖南A320NEO，LEAP-1A）执行CZ6177（长沙黄花1620 - 银川1850）航班，在长沙短停检查发现组件2压气机出口温度指示XX，参考MEL21-07-01-03A办理C类保留，无M项，无O项，放行飞机。
2024年07月20日 航后检查：指示正常，温控测试正常。关闭保留。",nan,nan
A320-200,B-6681,广州,21,2024-07-17,,AIR PACK 1 OVHT信息,"2024年07月17日 B-6681（广州A320CEO，CFM56-5B）执行CZ3353（广州2344 - 北海0037）航班，在北海航后，有AIR PACK 1 OVHT信息。按MEL21-52-01D办理保留。
2024年07月19日 7月17日更换左空调ACM，测试正常。",nan,2024年07月19日 部件名称：ACM P/N ON:1263A0000-03 P/N OFF:1263A0000-03 S/N ON:07241 S/N OFF:10454 TSN:    TSR:   
A320-200,B-9913,深圳,21,2024-07-08,,09段监控有AIR PACK 1 REGUL FAULT 警告，伴随着P1 FLOW CONT VALVE PRESSURE FAULT(23HB)信息,"2024年07月08日 复位后警告消失，测试正常，正常放行
2024年07月08日 译码组件1流量有问题，FCV曾自动关闭，后又恢复正常，应该是FCV有缺陷，如回程后还有故障建议更换FCV。
组件2出口温度地面阶段偏高，目前TP2大概14度，未到2级预警，可继续监控。已写好预警单，还未发布。根据1880的排故过程，如果没有明显漏气，检查未发现其他故障现象，可能就是冷凝器或再加热器内漏或污染造成。
2024年07月08日 计划回深短停更换FCV1。
下件 PN:1806B0000-02 SN:1806-09210
2024年07月08日 更换左组件FCV，温控测试正常，检查无渗漏
2024年07月12日 右组件高已发预警单，11日航后检查发现ACM方形封圈破损，更换后测试正常，待验证。
2024年07月15日 译码正常",nan,nan
A320-200,B-30CC,黑龙江,21,2024-06-29,,PHMC-A预警：热交污染监控-右组件（C类）,"2024年06月21日 根据QAR报文监控，因压气机出口温度高触发右组件热交污染预警
2024年06月22日 温控测试正常，吹通热交换器，测试正常
2024年06月28日 参数分析，在同工况下右阻件流量小，右侧进口吸力明显小于左侧，但PBV开度小于左侧情况，PACK2出口温度仍高，ACM故障概率较大，排故措施：
1、检查集气腔无破损
2、更换右侧ACM
3、视排故结果调整后续方案
2024年07月01日 申请延期
2024年07月03日 更换右侧热交换器，测试正常",nan,nan
A320-200,B-6641,重庆,21,2024-05-29,,监控09段有VENT BLOWER FAULT和VENT AVNCS SYS FAULT警告,"2024年05月29日 西双版纳短停复位跳开关后警告消失，执行电子舱通风测试，测试正常。
2024年05月31日 05/30 航后按照AMM 21-26-51 更换鼓风扇，测试正常
2024年05月31日 5月31日B-6641 落地哈尔滨，机组反馈有VENT AVNCS SYS FAULT警告，下EACM 有 BLOWER / VENT 琥珀色的信息，同时鼓风扇电门有FAULT灯点亮，测试有15HQ信息，复位鼓风扇电门无效，操作15HQ活门发现该活门处在关闭状态，后再次复位鼓风扇电门，测试正常。
2024年06月01日 5月31日航后更换蒙皮空气进口活门（15HQ），与B-307R飞机对串AEVC，测试正常。",nan,"2024年05月31日 部件名称：鼓风扇 P/N ON:EVT3454HM01 P/N OFF:EVT3454HM01 S/N ON:164909191 S/N OFF:10059 TSN:48,094:24 TSR:505:07"
A320-200,B-6766,广州,21,2024-05-09,,定检发现左空调ACM方形封严损坏漏气,2024年05月09日 更换封严，测试正常,nan,nan
A320-200,B-1697,深圳,21,2024-03-17,,"换季普查左组件ACM方形封圈连续两个螺套有问题,需要更换ACM。","2024年03月17日 需更换ACM
2024年03月17日 更换左组件ACM及方形封圈，执行温控和渗漏测试正常。
2024年03月19日 需跟踪和回顾译码情况。
2024年03月22日 译码未发现流量和温度有问题，判断渗漏较小，对组件的正常运行影响不大。",nan,nan
A320-200,B-6702,湖南,21,2024-01-26,,右空调组件故障。,"2024年01月26日 1月25日定检检查发现右空调组件的集气腔破损，一固定卡箍断裂，ACM的方形管底座损坏，航材缺件，按照MEL保留右空调组件，A类。
2024年01月27日 1月26日长沙航后参考AMM21-52-41更换右空调组件空气循环机ACM, 参考AMM21-52-22更换右空调组件的集气腔和固定卡箍，测试正常，关闭保留。",无。,"2024年01月27日 部件名称：右空调组件空气循环机ACM P/N ON:1263A0000-03 P/N OFF:1263A0000-03 S/N ON:11426 S/N OFF:07425 TSN:查询ME系统无相关数据。 TSR:查询ME系统无相关数据。
2024年01月27日 部件名称：右空调组件的集气腔 P/N ON:2056C0000-01 P/N OFF:2056C0000-01 S/N ON:2056C00L1001260 S/N OFF:2056-05678 TSN:14,256:47 TSR:14,256:47
2024年01月27日 部件名称：右空调组件的集气腔的固定卡箍 P/N ON:9019A1001-02 P/N OFF:无相关数据 S/N ON:无相关数据 S/N OFF:无相关数据 TSN:无相关数据 TSR:无相关数据"
A320-200,B-6651,海口,21,2023-10-13,,驾驶舱空调不制冷,"2023年10月14日 13日机组反映驾驶舱空调不制冷，航后检查左组件ACM方形封严破损，更换封严。同时发现左组件集气腔坍陷，更换集气腔。
测试发现ACM方形封严处漏气严重，需要更换ACM，ACM海口有件，正在更换。
2023年10月14日 白天完成ACM更换，检查无漏气，飞机放行。
2023年10月16日 15日跟踪正常，无机组报告
2023年10月17日 16日跟踪正常
2023年10月18日 至17日跟踪正常。
2023年10月19日 18日跟踪正常，关闭",nan,nan
